EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
155702.500,183083.500,415154.400,194954.500,237667.300,210316.200,203310.300,218635.900,0.000
155605.400,183065.200,415010.000,194881.600,237798.600,210128.800,203347.600,218671.500,0.000
155516.400,183122.800,414812.600,194753.300,238051.400,210020.200,203384.700,218706.600,0.000
155605.900,182961.600,414782.600,194804.800,237744.300,210079.200,203305.000,218623.400,0.000
155747.700,182987.100,415022.800,194965.400,237509.500,210287.400,203292.000,218614.200,0.000
155715.100,183095.800,415064.000,194957.600,237681.400,210331.300,203327.000,218655.800,0.000
155606.600,183070.800,414912.500,194871.500,237803.000,210129.900,203349.500,218674.700,0.000
155513.300,183125.300,414712.800,194737.900,238041.400,210012.000,203375.800,218702.300,0.000
155619.900,182980.700,414703.300,194804.500,237757.500,210087.500,203313.400,218639.000,0.000
155754.700,182988.800,414931.500,194955.700,237508.400,210284.700,203290.800,218618.800,0.000
155712.100,183083.600,414957.100,194934.800,237661.000,210317.500,203312.200,218645.000,0.000
155599.300,183048.600,414799.500,194844.700,237775.700,210113.200,203332.800,218661.200,0.000
155508.000,183106.900,414604.900,194714.800,238028.100,210002.200,203366.400,218693.600,0.000
155615.600,182965.900,414592.800,194783.500,237747.400,210076.900,203305.700,218630.400,0.000
155739.000,182967.200,414811.500,194927.300,237490.300,210264.800,203276.000,218602.800,0.000
155702.600,183076.400,414851.300,194918.200,237654.400,210314.500,203308.200,218642.800,0.000
155605.800,183060.500,414713.800,194845.400,237784.800,210127.800,203341.800,218673.000,0.000
155507.800,183112.500,414514.800,194711.100,238031.200,210010.600,203370.600,218698.000,0.000
155602.200,182962.700,414489.500,194766.300,237743.400,210076.100,203300.700,218622.300,0.000
155735.300,182969.900,414715.400,194917.900,237488.300,210269.900,203276.400,218598.500,0.000
155694.100,183071.100,414752.400,194901.800,237646.400,210308.600,203302.500,218633.000,0.000
155597.100,183056.300,414616.800,194831.200,237782.700,210125.500,203342.000,218666.500,0.000
155497.000,183107.700,414412.600,194693.900,238029.500,210004.800,203368.500,218692.500,0.000
155599.500,182963.900,414393.100,194753.700,237750.000,210075.000,203304.800,218628.300,0.000
155737.800,182970.300,414624.600,194906.000,237491.300,210268.800,203281.700,218610.400,0.000
155707.500,183081.700,414669.400,194896.400,237652.500,210317.900,203311.900,218647.100,0.000
155604.900,183061.800,414527.100,194817.700,237782.700,210128.800,203340.600,218670.100,0.000
155499.400,183109.200,414319.700,194675.300,238022.000,210006.000,203363.000,218692.400,0.000
155608.500,182974.300,414310.200,194741.300,237752.900,210084.600,203308.400,218630.900,0.000
155737.200,182973.000,414531.400,194884.700,237485.300,210269.700,203277.600,218598.800,0.000
155713.900,183095.200,414585.700,194882.700,237658.300,210330.200,203318.100,218645.200,0.000
