EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
156706.200,184083.000,409567.100,194988.900,238506.700,210918.000,204156.100,219433.300,0.000
156705.800,184084.300,409562.300,194987.900,238508.700,210911.200,204159.900,219435.500,0.000
156710.500,184090.100,409557.300,194989.600,238506.400,210921.300,204160.800,219435.800,0.000
156714.700,184106.800,409560.000,194992.500,238520.500,210940.100,204165.600,219441.600,0.000
156712.900,184108.900,409557.700,194991.800,238528.200,210942.600,204167.600,219444.800,0.000
156709.500,184096.400,409553.300,194990.000,238510.200,210930.800,204162.700,219439.800,0.000
156704.000,184093.200,409544.100,194984.100,238505.500,210918.600,204159.800,219436.400,0.000
156704.500,184091.300,409537.500,194983.900,238499.000,210917.900,204157.600,219433.900,0.000
156705.200,184098.400,409534.900,194983.800,238505.600,210924.100,204159.000,219435.400,0.000
156708.700,184105.100,409530.100,194984.800,238517.000,210931.500,204163.900,219439.300,0.000
156716.300,184106.600,409529.300,194991.100,238512.900,210938.000,204168.800,219442.500,0.000
156715.300,184109.200,409522.100,194988.800,238515.600,210936.200,204171.400,219443.900,0.000
156714.800,184102.700,409515.300,194987.000,238506.500,210931.700,204168.200,219439.900,0.000
156712.200,184100.300,409512.300,194984.800,238504.300,210925.000,204164.700,219437.300,0.000
156708.800,184097.900,409503.900,194981.700,238505.500,210920.600,204161.400,219436.100,0.000
156711.800,184097.600,409500.800,194985.500,238498.900,210928.000,204161.500,219437.700,0.000
156711.900,184103.900,409495.800,194984.600,238506.700,210934.400,204164.800,219441.100,0.000
156715.500,184101.800,409496.000,194986.400,238504.800,210935.000,204166.400,219441.200,0.000
156720.800,184106.200,409504.000,194990.200,238512.900,210932.900,204172.200,219445.800,0.000
156722.800,184107.000,409501.100,194988.900,238522.300,210930.900,204174.000,219447.400,0.000
156720.200,184097.200,409489.300,194984.000,238510.300,210930.000,204166.200,219439.600,0.000
156711.600,184092.500,409474.200,194974.400,238507.400,210926.200,204160.500,219434.100,0.000
156712.700,184090.500,409473.500,194974.800,238504.000,210927.200,204161.100,219434.200,0.000
156714.500,184097.200,409479.400,194976.400,238511.600,210930.300,204164.500,219436.600,0.000
156713.800,184101.500,409475.700,194975.300,238519.900,210933.900,204165.200,219436.500,0.000
156717.900,184104.000,409477.300,194982.700,238515.600,210940.800,204168.100,219438.700,0.000
156717.000,184111.600,409476.700,194986.800,238522.100,210943.000,204174.300,219444.400,0.000
156717.700,184112.100,409473.800,194989.400,238518.700,210946.700,204175.000,219445.200,0.000
156714.700,184113.200,409467.900,194984.900,238518.300,210948.000,204171.000,219442.200,0.000
156711.000,184108.800,409456.500,194977.500,238518.000,210942.700,204166.200,219438.400,0.000
156714.300,184101.900,409453.800,194978.000,238507.300,210936.200,204164.100,219436.400,0.000
